Date,Close,Next Day Close,Daily Return
2021-05-17,71775.4296875,71775.4296875,0.0
2021-05-18,71775.4296875,71685.2578125,-0.0012563056103264796
2021-05-20,71685.2578125,72226.296875,0.007547424379990961
2021-05-21,72226.296875,71865.6015625,-0.0049939610378231785
2021-05-24,71865.6015625,72045.921875,0.0025091324441663403
2021-05-25,72045.921875,71955.7734375,-0.0012512635712595634
2021-05-26,71955.7734375,71775.4296875,-0.0025063138284052303
2021-05-27,71775.4296875,72226.296875,0.006281636898072384
2021-05-28,72226.296875,72586.9609375,0.0049935283699258605
2021-05-31,72586.9609375,72677.125,0.0012421523278489993
2021-06-01,72677.125,72857.46875,0.0024814375912641014
2021-06-02,72857.46875,74660.875,0.02475252408491065
2021-06-03,74660.875,74119.84375,-0.007246516331344897
2021-06-04,74119.84375,73849.34375,-0.0036494950112465666
2021-06-07,73849.34375,73849.34375,0.0
2021-06-08,73849.34375,73127.9765625,-0.009768092048888384
2021-06-09,73127.9765625,73037.8125,-0.001232962632610788
2021-06-10,73037.8125,73037.8125,0.0
2021-06-11,73037.8125,72586.9609375,-0.00617285139118864
2021-06-14,72586.9609375,72947.640625,0.004968932199965752
2021-06-15,72947.640625,73759.1875,0.011125059947749339
2021-06-16,73759.1875,72947.640625,-0.011002654754026404
2021-06-17,72947.640625,72586.9609375,-0.004944363990524882
2021-06-18,72586.9609375,72045.921875,-0.007453667373756758
2021-06-21,72045.921875,72136.1171875,0.0012519141979540392
2021-06-22,72136.1171875,72226.296875,0.0012501322640585187
2021-06-23,72226.296875,73218.1484375,0.013732554559962687
2021-06-24,73218.1484375,73578.828125,0.004926096810654547
2021-06-25,73578.828125,73849.34375,0.00367654163423794
2021-06-28,73849.34375,73361.1796875,-0.00661026947175817
2021-06-29,73361.1796875,73089.484375,-0.003703529764070767
2021-06-30,73089.484375,72546.0703125,-0.007434914436007061
2021-07-01,72546.0703125,72455.4921875,-0.0012485600475646026
2021-07-02,72455.4921875,72817.7578125,0.004999836645406129
2021-07-05,72817.7578125,73542.3125,0.009950247154899651
2021-07-06,73542.3125,73180.0390625,-0.004926054473742582
2021-07-07,73180.0390625,72364.8984375,-0.011138838342294715
2021-07-08,72364.8984375,71912.0859375,-0.0062573500381691875
2021-07-09,71912.0859375,72183.7578125,0.0037778333288247903
2021-07-12,72183.7578125,72274.3359375,0.0012548269547739542
2021-07-13,72274.3359375,72002.625,-0.0037594387271155964
2021-07-14,72002.625,72998.890625,0.013836518113054906
2021-07-15,72998.890625,72274.3359375,-0.009925557515963962
2021-07-16,72274.3359375,71549.7890625,-0.010024953748818385
2021-07-19,71549.7890625,71549.7890625,0.0
2021-07-20,71549.7890625,71096.921875,-0.006329399337633442
2021-07-21,71096.921875,72183.7578125,0.015286680616227451
2021-07-22,72183.7578125,71821.4921875,-0.005018658434782496
2021-07-23,71821.4921875,71368.6484375,-0.0063051286767725236
2021-07-26,71368.6484375,71096.921875,-0.003807365957587951
2021-07-27,71096.921875,71730.9296875,0.008917514229584922
2021-07-28,71730.9296875,71549.7890625,-0.002525279203673363
2021-07-29,71549.7890625,71096.921875,-0.006329399337633442
2021-07-30,71096.921875,71821.4921875,0.0101913035528305
2021-08-02,71821.4921875,73723.453125,0.02648177975103422
2021-08-03,73723.453125,75081.9921875,0.018427501763876447
2021-08-04,75081.9921875,74357.4375,-0.009650179309182305
2021-08-05,74357.4375,73814.03125,-0.007308028198255218
2021-08-06,73814.03125,73814.03125,0.0
2021-08-09,73814.03125,72636.6171875,-0.015951087382183857
2021-08-10,72636.6171875,71096.921875,-0.021197233187849576
2021-08-11,71096.921875,69738.390625,-0.019108158471171505
2021-08-12,69738.390625,67383.6015625,-0.03376603677538623
2021-08-13,67383.6015625,67202.453125,-0.0026883163455129395
2021-08-17,67202.453125,66930.734375,-0.004043286180261741
2021-08-18,66930.734375,66206.1953125,-0.010825207122942165
2021-08-19,66206.1953125,65843.9296875,-0.005471778332678223
2021-08-20,65843.9296875,66387.3125,0.008252587825163742
2021-08-23,66387.3125,68470.4296875,0.031378242454083376
2021-08-24,68470.4296875,68560.9921875,0.001322651258555387
2021-08-25,68560.9921875,67564.7265625,-0.014531085289364271
2021-08-26,67564.7265625,67293.03125,-0.004021259706404217
2021-08-27,67293.03125,67564.7265625,0.004037495524471563
2021-08-30,67564.7265625,69466.6953125,0.028150321133033892
2021-08-31,69466.6953125,69557.265625,0.0013037947478653496
2021-09-01,69557.265625,68832.6953125,-0.010416888961770484
2021-09-02,68832.6953125,69376.1171875,0.007894821966986302
2021-09-03,69376.1171875,70010.109375,0.009138478963683356
2021-09-06,70010.109375,68923.2734375,-0.015523985710099457
2021-09-07,68923.2734375,69104.421875,0.0026282622467759947
2021-09-08,69104.421875,68198.734375,-0.013106071585958116
2021-09-09,68198.734375,68198.734375,0.0
2021-09-10,68198.734375,69104.421875,0.013280121813110992
2021-09-13,69104.421875,69376.1171875,0.003931663200821764
2021-09-14,69376.1171875,69738.390625,0.005221875368448458
2021-09-15,69738.390625,68923.2734375,-0.011688213338375988
2021-09-16,68923.2734375,69919.5390625,0.01445470557783967
2021-09-17,69919.5390625,70100.6875,0.002590812810394448
2021-09-23,70100.6875,70010.109375,-0.0012921146458085735
2021-09-24,70010.109375,70372.3984375,0.00517481069140238
2021-09-27,70372.3984375,69104.421875,-0.018018095029489877
2021-09-28,69104.421875,67430.9375,-0.02421674806898889
2021-09-29,67430.9375,67430.9375,0.0
2021-09-30,67430.9375,66611.921875,-0.012145991964000204
2021-10-01,66611.921875,65701.921875,-0.013661218208170787
2021-10-05,65701.921875,64882.9296875,-0.012465269875334221
2021-10-06,64882.9296875,65155.93359375,0.004207638396800006
2021-10-07,65155.93359375,65064.92578125,-0.001396769372800911
2021-10-08,65064.92578125,62789.93359375,-0.034964954776842194
2021-10-12,62789.93359375,62607.9296875,-0.0028986160015323915
2021-10-13,62607.9296875,63153.92578125,0.008720877634435034
2021-10-14,63153.92578125,63790.92578125,0.010086467185055363
2021-10-15,63790.92578125,63881.9296875,0.0014265964184634655
2021-10-18,63881.9296875,64245.9375,0.00569813426552183
2021-10-19,64245.9375,63972.9140625,-0.004249660727575187
2021-10-20,63972.9140625,63881.9296875,-0.0014222327735627371
2021-10-21,63881.9296875,64063.92578125,0.0028489448368309357
2021-10-22,64063.92578125,63881.9296875,-0.0028408514078802514
2021-10-25,63881.9296875,64700.953125,0.012820893819371602
2021-10-26,64700.953125,63790.92578125,-0.014065130416113944
2021-10-27,63790.92578125,64336.9140625,0.008559027393994676
2021-10-28,64336.9140625,63517.93359375,-0.012729557839134197
2021-10-29,63517.93359375,63608.921875,0.0014324817591193334
2021-11-01,63608.921875,65064.92578125,0.02288993215623496
2021-11-02,65064.92578125,64063.92578125,-0.01538463293365443
2021-11-03,64063.92578125,64245.9375,0.0028410953048910803
2021-11-04,64245.9375,63881.9296875,-0.005665849494374644
2021-11-05,63881.9296875,64245.9375,0.00569813426552183
2021-11-08,64245.9375,64154.92578125,-0.0014166143773682188
2021-11-09,64154.92578125,63881.9296875,-0.004255263184012383
2021-11-10,63881.9296875,63608.921875,-0.004273631273123867
2021-11-11,63608.921875,64245.9375,0.01001456409293999
2021-11-12,64245.9375,64973.9296875,0.01133133417969035
2021-11-15,64973.9296875,64882.9296875,-0.0014005617397266188
2021-11-16,64882.9296875,64336.9140625,-0.008415397202774469
2021-11-17,64336.9140625,63881.9296875,-0.007071902369423658
2021-11-18,63881.9296875,64791.93359375,0.014245091071944617
2021-11-19,64791.93359375,68158.9296875,0.05196628510674343
2021-11-22,68158.9296875,68522.9296875,0.005340459447777329
2021-11-23,68522.9296875,68067.921875,-0.006640227068151799
2021-11-24,68067.921875,67066.9140625,-0.01470601400668955
2021-11-25,67066.9140625,65792.9296875,-0.018995720808218004
2021-11-26,65792.9296875,65792.9296875,0.0
2021-11-29,65792.9296875,64882.9296875,-0.013831273425917844
2021-11-30,64882.9296875,67703.921875,0.04347818757702424
2021-12-01,67703.921875,68977.9140625,0.018817110622515176
2021-12-02,68977.9140625,68795.9296875,-0.0026382991929142174
2021-12-03,68795.9296875,69432.921875,0.009259155162136568
2021-12-06,69432.921875,70433.921875,0.014416792106230225
2021-12-07,70433.921875,70433.921875,0.0
2021-12-08,70433.921875,71161.9140625,0.01033581785765071
2021-12-09,71161.9140625,69978.921875,-0.01662395121161304
2021-12-10,69978.921875,69887.921875,-0.0013003915688005162
2021-12-13,69887.921875,70069.9140625,0.0026040577916382635
2021-12-14,70069.9140625,70615.9296875,0.007792440340557183
2021-12-15,70615.9296875,70797.921875,0.0025772115201963437
2021-12-16,70797.921875,70979.9296875,0.002570807273430298
2021-12-17,70979.9296875,70160.921875,-0.01153858303475091
2021-12-20,70160.921875,71070.9140625,0.012970071703465627
2021-12-21,71070.9140625,72253.9375,0.016645676407927513
2021-12-22,72253.9375,72708.9140625,0.006296910289491144
2021-12-23,72708.9140625,73254.9140625,0.007509395609053696
2021-12-24,73254.9140625,72981.9140625,-0.0037267124464453057
2021-12-27,72981.9140625,73072.921875,0.0012469913083132218
2021-12-28,73072.921875,72031.75,-0.014248395278090143
2021-12-29,72031.75,71574.703125,-0.006345075261950459
2021-12-30,71574.703125,71940.34375,0.005108517521357166
2022-01-04,71940.34375,70752.0078125,-0.016518352228474028
2022-01-05,70752.0078125,70294.9375,-0.006460174440720929
2022-01-06,70294.9375,71574.703125,0.018205658480029235
2022-01-07,71574.703125,71300.4609375,-0.003831551868556912
2022-01-10,71300.4609375,72123.171875,0.01153864823147729
2022-01-11,72123.171875,72123.171875,0.0
2022-01-12,72123.171875,71209.046875,-0.012674498032120831
2022-01-13,71209.046875,70660.59375,-0.007702014688705942
2022-01-14,70660.59375,70843.3984375,0.002587081112660478
2022-01-17,70843.3984375,70386.3515625,-0.006451509739516793
2022-01-18,70386.3515625,69746.484375,-0.009090784978843887
2022-01-19,69746.484375,69929.296875,0.0026210998538232773
2022-01-20,69929.296875,69106.5859375,-0.011764896463503875
2022-01-21,69106.5859375,68649.5625,-0.006613312339193431
2022-01-24,68649.5625,67644.015625,-0.014647535080795308
2022-01-25,67644.015625,67644.015625,0.0
2022-01-26,67644.015625,65175.9296875,-0.03648639003311684
2022-01-27,65175.9296875,67004.1328125,0.028050280736549717
2022-01-28,67004.1328125,67004.1328125,0.0
2022-02-03,67004.1328125,67644.015625,0.00954990066494266
2022-02-04,67644.015625,66729.9140625,-0.01351341362652877
2022-02-07,66729.9140625,66729.9140625,0.0
2022-02-08,66729.9140625,66729.9140625,0.0
2022-02-09,66729.9140625,68923.78125,0.032876817216416596
2022-02-10,68923.78125,68466.734375,-0.006631192698819031
2022-02-11,68466.734375,67369.8046875,-0.01602135252270092
2022-02-14,67369.8046875,67369.8046875,0.0
2022-02-15,67369.8046875,68375.3046875,0.014925084088696543
2022-02-16,68375.3046875,68558.1484375,0.0026741197108468093
2022-02-17,68558.1484375,67918.265625,-0.009333431941840428
2022-02-18,67918.265625,67918.265625,0.0
2022-02-21,67918.265625,67918.265625,0.0
2022-02-22,67918.265625,67918.265625,0.0
2022-02-23,67918.265625,65358.75390625,-0.0376851748965726
2022-02-24,65358.75390625,65724.3984375,0.005594423231729252
2022-02-25,65724.3984375,65724.3984375,0.0
2022-02-28,65724.3984375,65541.5703125,-0.002781739039785335
2022-03-02,65541.5703125,66638.515625,0.016736634585802594
2022-03-03,66638.515625,66638.515625,0.0
2022-03-04,66638.515625,64079.0,-0.03840895315560985
2022-03-07,64079.0,63530.54296875,-0.008559076003839011
2022-03-08,63530.54296875,63530.54296875,0.0
2022-03-10,63530.54296875,63987.5859375,0.007194066780994058
2022-03-11,63987.5859375,64170.42578125,0.002857426812891319
2022-03-14,64170.42578125,64170.42578125,0.0
2022-03-15,64170.42578125,64353.23828125,0.0028488590775942162
2022-03-16,64353.23828125,64353.23828125,0.0
2022-03-17,64353.23828125,64627.46875,0.004261331303197216
2022-03-18,64627.46875,63896.1796875,-0.011315452649536116
2022-03-21,63896.1796875,64261.828125,0.005722539896568054
2022-03-22,64261.828125,64444.65234375,0.0028449893830343005
2022-03-23,64444.65234375,63804.76953125,-0.00992918402425143
2022-03-24,63804.76953125,63804.76953125,0.0
2022-03-25,63804.76953125,63713.37890625,-0.0014323478584973045
2022-03-28,63713.37890625,64170.42578125,0.007173483542169598
2022-03-29,64170.42578125,64226.453125,0.0008731022596139711
2022-03-30,64226.453125,63950.828125,-0.004291456037025242
2022-03-31,63950.828125,63491.40234375,-0.007184047411426699
2022-04-01,63491.40234375,63675.16015625,0.0028942156845916454
2022-04-04,63675.16015625,63583.2734375,-0.0014430543798323043
2022-04-05,63583.2734375,62940.10546875,-0.010115364214178281
2022-04-06,62940.10546875,62480.67578125,-0.00729947438248429
2022-04-07,62480.67578125,62296.921875,-0.002940971811722037
2022-04-08,62296.921875,62388.78515625,0.0014746038565809957
2022-04-11,62388.78515625,61561.84375,-0.013254648318266836
2022-04-12,61561.84375,63123.859375,0.025373113114403757
2022-04-13,63123.859375,62021.2578125,-0.017467271067026707
2022-04-14,62021.2578125,61194.31640625,-0.013333193092438946
2022-04-15,61194.31640625,61286.19140625,0.0015013649207235276
2022-04-18,61286.19140625,61837.5,0.00899564128721135
2022-04-19,61837.5,61929.37890625,0.001485812108348494
2022-04-20,61929.37890625,62205.02734375,0.004451012465622858
2022-04-21,62205.02734375,61561.84375,-0.010339736532800084
2022-04-22,61561.84375,60918.65625,-0.010447827108816896
2022-04-25,60918.65625,60734.89453125,-0.003016509720698247
2022-04-26,60734.89453125,59724.17578125,-0.016641483578767945
2022-04-27,59724.17578125,59540.4140625,-0.003076839761222636
2022-04-28,59540.4140625,61929.37890625,0.04012341669714098
2022-04-29,61929.37890625,61837.5,-0.0014836077459954543
2022-05-02,61837.5,62021.2578125,0.002971624216696988
2022-05-03,62021.2578125,62388.78515625,0.005925828606396421
2022-05-04,62388.78515625,61102.4296875,-0.020618376612533466
2022-05-06,61102.4296875,60367.36328125,-0.012030068362410405
2022-05-10,60367.36328125,60367.36328125,0.0
2022-05-11,60367.36328125,59632.30078125,-0.012176488420992691
2022-05-12,59632.30078125,61102.4296875,0.024653231335864337
2022-05-13,61102.4296875,60918.65625,-0.00300762896729122
2022-05-16,60918.65625,62113.15234375,0.019608050592054876
2022-05-17,62113.15234375,62572.5703125,0.007396468403462506
2022-05-18,62572.5703125,62021.2578125,-0.008810769595153827
2022-05-19,62021.2578125,62480.67578125,0.007407427468480124
2022-05-20,62480.67578125,62388.78515625,-0.0014707047235167023
2022-05-23,62388.78515625,61102.4296875,-0.020618376612533466
2022-05-24,61102.4296875,61010.5546875,-0.0015036226950365492
2022-05-25,61010.5546875,60551.13671875,-0.007530139188262891
2022-05-26,60551.13671875,61102.4296875,0.009104584961148864
2022-05-27,61102.4296875,62205.02734375,0.018045070578847428
2022-05-30,62205.02734375,61929.37890625,-0.004431288744183722
2022-05-31,61929.37890625,61286.19140625,-0.010385821904877664
2022-06-02,61286.19140625,61378.07421875,0.0014992416789441699
2022-06-03,61378.07421875,60183.59765625,-0.019460965136229493
2022-06-07,60183.59765625,59999.82421875,-0.003053546890793348
2022-06-08,59999.82421875,59907.953125,-0.0015311893817397252
2022-06-09,59907.953125,58621.58203125,-0.02147245944233719
2022-06-10,58621.58203125,57059.5625,-0.02664580990696086
2022-06-13,57059.5625,56875.80078125,-0.0032205244957845586
2022-06-14,56875.80078125,55773.19921875,-0.0193861281486078
2022-06-15,55773.19921875,55956.96484375,0.0032948733006913675
2022-06-16,55956.96484375,54946.25390625,-0.018062290196086097
2022-06-17,54946.25390625,53935.5234375,-0.018394893134562388
2022-06-20,53935.5234375,53751.765625,-0.003406990435773501
2022-06-21,53751.765625,52924.81640625,-0.015384596378084092
2022-06-22,52924.81640625,52741.046875,-0.003472275271384754
2022-06-23,52741.046875,53659.8828125,0.01742164769079586
2022-06-24,53659.8828125,54027.41015625,0.006849201386335957
2022-06-27,54027.41015625,54578.70703125,0.010204021873445749
2022-06-28,54578.70703125,53618.20703125,-0.017598438150065534
2022-06-29,53618.20703125,52693.75,-0.017241476029051173
2022-06-30,52693.75,51954.19140625,-0.0140350343968687
2022-07-01,51954.19140625,52786.19921875,0.016014257752453652
2022-07-04,52786.19921875,52878.640625,0.0017512419461555818
2022-07-05,52878.640625,52139.08203125,-0.013985960777523296
2022-07-06,52139.08203125,53803.09375,0.03191486412730973
2022-07-07,53803.09375,54265.3203125,0.008591077766787343
2022-07-08,54265.3203125,54357.76953125,0.0017036519496726227
2022-07-11,54357.76953125,53710.65234375,-0.011904778159228474
2022-07-12,53710.65234375,53618.20703125,-0.001721172774226365
2022-07-13,53618.20703125,53155.984375,-0.008620628734948286
2022-07-14,53155.984375,55467.10546875,0.04347809792112424
2022-07-15,55467.10546875,57223.5703125,0.03166678392366422
2022-07-18,57223.5703125,56299.12109375,-0.016155042645915822
2022-07-19,56299.12109375,55929.33984375,-0.006568153157919386
2022-07-20,55929.33984375,57131.125,0.0214875619774421
2022-07-21,57131.125,56668.90234375,-0.008090557576977523
2022-07-22,56668.90234375,56484.01171875,-0.0032626470136736564
2022-07-25,56484.01171875,57038.671875,0.009819772699782923
2022-07-26,57038.671875,57131.125,0.0016208849533279916
2022-07-27,57131.125,57223.5703125,0.0016181251900780878
2022-07-28,57223.5703125,56761.34375,-0.008077555454435364
2022-07-29,56761.34375,56668.90234375,-0.0016285979179271985
2022-08-01,56668.90234375,57038.671875,0.006525087234035366
2022-08-02,57038.671875,56668.90234375,-0.006482786486690088
2022-08-03,56668.90234375,56853.79296875,0.0032626470136736564
2022-08-04,56853.79296875,56853.79296875,0.0
2022-08-05,56853.79296875,56206.67578125,-0.011382128679711686
2022-08-08,56206.67578125,55467.10546875,-0.01315805110727992
2022-08-09,55467.10546875,54635.10546875,-0.014999881334509989
2022-08-10,54635.10546875,55374.66796875,0.013536397407030035
2022-08-11,55374.66796875,55652.0,0.0050082834159205945
2022-08-12,55652.0,56391.57421875,0.0132892657721196
2022-08-16,56391.57421875,55836.89453125,-0.009836215696840237
2022-08-17,55836.89453125,56853.79296875,0.01821194473720018
2022-08-18,56853.79296875,56299.12109375,-0.009756110296895732
2022-08-19,56299.12109375,55467.10546875,-0.01477848337302668
2022-08-22,55467.10546875,54635.10546875,-0.014999881334509989
2022-08-23,54635.10546875,54542.6640625,-0.001691978178808025
2022-08-24,54542.6640625,55189.7734375,0.011864278837910861
2022-08-25,55189.7734375,55467.10546875,0.005025061963047672
2022-08-26,55467.10546875,54172.8828125,-0.02333315656752922
2022-08-29,54172.8828125,54357.76953125,0.0034129016059551245
2022-08-30,54357.76953125,55189.7734375,0.015306071485727267
2022-08-31,55189.7734375,53987.98828125,-0.021775504434910737
2022-09-01,53987.98828125,53155.984375,-0.015410907735914926
2022-09-02,53155.984375,52786.19921875,-0.006956604427476563
2022-09-05,52786.19921875,52786.19921875,0.0
2022-09-06,52786.19921875,51769.30078125,-0.01926447542256066
2022-09-07,51769.30078125,51399.52734375,-0.007142716473271857
2022-09-08,51399.52734375,53710.65234375,0.04496393487324596
2022-09-13,53710.65234375,52508.86328125,-0.022375246064942744
2022-09-14,52508.86328125,51769.30078125,-0.01408452695002607
2022-09-15,51769.30078125,51954.19140625,0.0035714336915858903
2022-09-16,51954.19140625,52139.08203125,0.0035587239449897004
2022-09-19,52139.08203125,51584.4140625,-0.010638238095898103
2022-09-20,51584.4140625,51122.1875,-0.008960585690475488
2022-09-21,51122.1875,50290.1875,-0.01627473394013118
2022-09-22,50290.1875,50382.62890625,0.0018381599044545221
2022-09-23,50382.62890625,49827.9609375,-0.011009111290760635
2022-09-26,49827.9609375,50105.29296875,0.005565791295330386
2022-09-27,50105.29296875,48903.50390625,-0.02398527164085319
2022-09-28,48903.50390625,48960.28515625,0.0011610875594691937
2022-09-29,48960.28515625,49425.6875,0.009505711461130845
2022-09-30,49425.6875,51380.375,0.039548008310455976
2022-10-04,51380.375,52125.01171875,0.01449262911666176
2022-10-05,52125.01171875,52404.2578125,0.005357238004218075
2022-10-06,52404.2578125,52311.1796875,-0.0017761557721708264
2022-10-07,52311.1796875,51566.5390625,-0.014234827611389833
2022-10-11,51566.5390625,51938.85546875,0.0072201162424094965
2022-10-12,51938.85546875,51380.375,-0.010752652589466866
2022-10-13,51380.375,52404.2578125,0.019927507584364654
2022-10-14,52404.2578125,52683.49609375,0.005328541857211328
2022-10-17,52683.49609375,52590.421875,-0.0017666674699107843
2022-10-18,52590.421875,51938.85546875,-0.01238945007512359
2022-10-19,51938.85546875,51659.62109375,-0.005376213481793157
2022-10-20,51659.62109375,52031.93359375,0.007207031180587655
2022-10-21,52031.93359375,53521.2265625,0.028622671999429437
2022-10-24,53521.2265625,53707.38671875,0.0034782490650248727
2022-10-25,53707.38671875,55289.75,0.02946267502338882
2022-10-26,55289.75,55382.83203125,0.0016835314185721585
2022-10-27,55382.83203125,53335.0546875,-0.03697494816795452
2022-10-28,53335.0546875,55289.75,0.03664935423715084
2022-10-31,55289.75,55848.23046875,0.010100976559850604
2022-11-01,55848.23046875,55475.91015625,-0.006666644750872325
2022-11-02,55475.91015625,55103.58203125,-0.006711528011912265
2022-11-03,55103.58203125,55289.75,0.0033785093797427104
2022-11-04,55289.75,56034.39453125,0.013468039396994922
2022-11-07,56034.39453125,57523.6796875,0.026578053866887698
2022-11-08,57523.6796875,57709.84375,0.0032363030931147783
2022-11-09,57709.84375,56220.55078125,-0.025806567337136484
2022-11-10,56220.55078125,58547.55859375,0.04139069753254846
2022-11-11,58547.55859375,57616.75390625,-0.015898266466731273
2022-11-14,57616.75390625,58082.15625,0.008077552312427572
2022-11-15,58082.15625,58361.39453125,0.004807643160630766
2022-11-16,58361.39453125,57151.35546875,-0.02073355292859009
2022-11-17,57151.35546875,57523.6796875,0.006514704956623199
2022-11-18,57523.6796875,57151.35546875,-0.006472538279412378
